Image Path,Resolution,Detected Objects,Inference Time
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004454.jpg,448x640,"1 person, 1 teddy bear",411.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004499.jpg,544x640,"12 persons, 4 cars, 1 umbrella, 1 frisbee",505.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004505.jpg,448x640,"3 persons, 3 cars, 1 bus",435.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004506.jpg,608x640,1 bird,437.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004522.jpg,480x640,"1 cat, 2 bottles, 1 potted plant",440.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004536.jpg,448x640,1 airplane,473.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004547.jpg,640x480,2 benchs,439.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004593.jpg,576x640,"1 car, 9 toilets, 1 sink",417.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004599.jpg,640x448,"1 cup, 1 toilet, 1 sink",398.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004610.jpg,480x640,"1 person, 1 teddy bear",453.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004623.jpg,448x640,11 persons,412.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004638.jpg,480x640,"1 person, 1 bicycle, 2 skateboards",496.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004649.jpg,640x448,"1 knife, 1 pizza, 1 scissors",431.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004677.jpg,640x448,"2 persons, 1 skis, 1 kite",451.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004679.jpg,448x640,(no detections),452.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004701.jpg,640x448,"1 toilet, 1 sink",431.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004707.jpg,640x480,"2 cats, 1 laptop",365.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004726.jpg,640x448,1 vase,393.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004752.jpg,640x448,"3 persons, 1 frisbee",485.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004753.jpg,448x640,"2 persons, 2 cups, 1 bowl, 1 cake, 2 beds, 1 dining table",473.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004769.jpg,448x640,"11 persons, 1 train",438.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004770.jpg,640x480,"1 person, 1 skateboard",394.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004774.jpg,640x640,"3 persons, 5 motorcycles, 4 traffic lights",437.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004777.jpg,640x480,"1 person, 1 bottle, 4 cups, 1 chair, 1 laptop",480.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004778.jpg,448x640,"2 persons, 1 toothbrush",530.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004790.jpg,448x640,"4 persons, 1 car, 2 umbrellas",462.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004792.jpg,640x448,"1 person, 1 skateboard",466.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004810.jpg,416x640,(no detections),350.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004819.jpg,448x640,"1 bottle, 3 knifes, 2 chairs, 1 potted plant, 1 microwave, 1 oven, 1 sink, 1 refrigerator, 1 vase",486.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004826.jpg,480x640,"2 sandwichs, 1 book",424.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004866.jpg,640x640,"1 person, 1 sports ball, 1 tennis racket",533.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004868.jpg,480x640,"3 persons, 1 tennis racket",526.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004878.jpg,640x608,"1 potted plant, 1 vase",533.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004900.jpg,416x640,"7 persons, 1 sheep, 3 baseball bats",427.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004914.jpg,640x480,"1 person, 1 laptop, 1 mouse, 1 keyboard",406.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004944.jpg,448x640,"3 persons, 1 snowboard",512.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004948.jpg,480x640,"1 bowl, 1 sandwich, 1 broccoli, 1 dining table",498.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004954.jpg,480x640,"1 dog, 1 frisbee",580.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004983.jpg,640x480,1 teddy bear,470.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004996.jpg,448x640,1 elephant,492.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005017.jpg,448x640,"1 person, 1 kite",405.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005036.jpg,480x640,1 stop sign,557.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005051.jpg,448x640,"1 person, 1 wine glass",448.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005082.jpg,448x640,"11 persons, 1 sports ball",435.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005091.jpg,640x480,"3 persons, 21 traffic lights, 2 handbags",455.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005092.jpg,640x448,"2 persons, 2 backpacks, 2 skiss",376.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005103.jpg,448x640,"3 persons, 1 surfboard",503.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005110.jpg,448x640,"1 person, 1 bird",504.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005118.jpg,448x640,"4 cars, 1 bus",411.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005127.jpg,448x640,"5 persons, 3 bicycles, 2 cars, 1 truck",476.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005134.jpg,640x448,"8 persons, 2 baseball bats",476.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005138.jpg,448x640,1 truck,470.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005148.jpg,640x480,"2 persons, 1 bottle, 1 bowl, 2 apples, 1 orange",600.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005208.jpg,480x640,3 teddy bears,434.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005217.jpg,448x640,"1 person, 1 couch, 1 bed, 1 tv",468.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005238.jpg,448x640,"1 remote, 1 microwave",429.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005239.jpg,448x640,5 giraffes,430.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005242.jpg,448x640,"5 persons, 1 backpack, 2 surfboards",575.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005255.jpg,448x640,"6 persons, 2 airplanes, 1 truck",393.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005290.jpg,384x640,3 cakes,405.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005341.jpg,640x480,"1 chair, 1 bed",469.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005346.jpg,640x640,(no detections),442.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005354.jpg,480x640,"4 persons, 4 cups, 2 pizzas, 1 chair, 1 dining table",422.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005382.jpg,448x640,"1 person, 1 skateboard",503.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005401.jpg,480x640,"11 persons, 1 surfboard",451.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005403.jpg,480x640,"8 persons, 13 kites",406.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005433.jpg,448x640,"1 person, 1 sports ball, 1 tennis racket",456.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005440.jpg,320x640,"6 cars, 5 traffic lights",431.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005448.jpg,480x640,"1 cup, 2 forks, 2 sandwichs",461.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005452.jpg,352x640,"1 cat, 1 vase",456.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005489.jpg,480x640,"1 person, 1 bottle, 1 knife, 2 sandwichs, 1 dining table",436.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005515.jpg,640x640,1 person,418.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005527.jpg,512x640,"2 bicycles, 2 cars, 1 stop sign",470.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005572.jpg,480x640,"1 person, 2 remotes",502.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005578.jpg,448x640,"1 person, 1 surfboard",469.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005634.jpg,448x640,"1 handbag, 2 bottles, 1 bowl, 1 chair, 2 potted plants, 1 dining table, 1 refrigerator, 1 vase",464.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005639.jpg,640x480,1 giraffe,446.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005656.jpg,640x384,"1 toilet, 1 sink",434.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005679.jpg,640x448,"1 potted plant, 1 toilet",451.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005685.jpg,512x640,1 bird,506.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005696.jpg,640x640,1 tie,425.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005714.jpg,480x640,"1 tie, 3 teddy bears",505.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005719.jpg,352x640,"4 persons, 4 backpacks, 1 baseball bat, 1 baseball glove",403.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005720.jpg,480x640,"2 bottles, 2 bowls, 3 sandwichs, 1 chair, 1 dining table",468.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005741.jpg,448x640,"1 person, 36 teddy bears",403.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005749.jpg,640x448,"6 persons, 1 bicycle, 3 benchs",497.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005771.jpg,640x640,2 clocks,418.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005780.jpg,480x640,"1 person, 1 fire hydrant",427.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005798.jpg,448x640,1 boat,432.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005817.jpg,448x640,"2 persons, 1 chair, 2 couchs, 1 tv, 1 laptop, 2 remotes",408.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005836.jpg,640x512,"1 car, 2 clocks",406.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005859.jpg,640x640,"2 persons, 1 cup, 2 bowls, 1 chair",408.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005877.jpg,480x640,6 persons,455.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000005886.jpg,480x640,"1 person, 2 donuts",440.3ms
